<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
A,D,20190927,77.02,77.31,75.92,76.39,1639800
AA,D,20190927,21.08,21.23,20.43,20.61,3087900
AAC,D,20190927,0.7278,0.7289,0.6322,0.69,84400
AAN,D,20190927,63.17,63.85,62.27,63.59,537900
AAP,D,20190927,161.13,162.42,160.45,161.68,531800
AAT,D,20190927,46.89,47.15,46.57,46.84,325800
AB,D,20190927,29.68,29.68,28.865,29.38,175000
ABB,D,20190927,19.58,19.62,19.48,19.57,991200
ABBV,D,20190927,74.21,75.14,73.92,74.85,7677700
ABC,D,20190927,82.33,82.36,80.43,80.94,1401000
ABEV,D,20190927,4.68,4.715,4.65,4.69,12871100
ABG,D,20190927,100.98,101.36,99.74,100.96,146100
ABM,D,20190927,36.91,37,36.08,36.36,619300
ABR,D,20190927,13.15,13.17,13,13.01,580600
ABR-A,D,20190927,26.1596,26.34,26.0396,26.0396,2600
ABR-B,D,20190927,25.79,26.1,25.75,26.1,1400
ABR-C,D,20190927,26.4,26.4,26.24,26.24,900
ABT,D,20190927,83.04,83.34,81.42,81.84,3396600
AC,D,20190927,35.9,35.9,35.47,35.47,4700
ACA,D,20190927,34.2,34.55,33.99,34.05,213900
ACB,D,20190927,4.7,4.84,4.6,4.62,10858000
ACC,D,20190927,48.05,48.16,47.69,47.93,567900
ACCO,D,20190927,9.86,10.01,9.83,9.92,360500
ACH,D,20190927,7.95,7.95,7.76,7.83,21700
ACM,D,20190927,37.52,37.65,37.11,37.29,629900
ACN,D,20190927,193.56,193.58,190.39,191.38,2012500
ACP,D,20190927,12.47,12.5035,12.39,12.42,37000
ACRE,D,20190927,15.46,15.4906,15.2378,15.28,178800
ACV,D,20190927,22.86,22.95,22.76,22.81,40600
ADC,D,20190927,73.51,73.93,72.125,72.72,187700
ADM,D,20190927,40.97,41.18,40.61,40.94,1843500
ADNT,D,20190927,21.94,22.97,21.77,22.95,1276500
ADS,D,20190927,128.67,129.29,126.39,126.42,333100
ADSW,D,20190927,32.57,32.59,32.55,32.57,514400
ADT,D,20190927,6.1,6.35,6.095,6.16,1052300
ADX,D,20190927,15.89,15.91,15.76,15.8,113600
AEB,D,20190927,23.93,24.0114,23.83,23.86,21700
AEE,D,20190927,80.55,80.55,79.42,80,1024800
AEG,D,20190927,4.16,4.2,4.135,4.16,1233700
AEH,D,20190927,25.97,26.09,25.97,26.06,44000
AEL,D,20190927,24.3,24.79,24.2,24.61,493900
AEM,D,20190927,56.95,57.23,55.36,55.49,1967400
AEO,D,20190927,16.21,16.29,15.93,15.98,3276000
AEP,D,20190927,94.76,94.88,93.6936,94.2,2179400
AEP-B,D,20190927,55.49,55.6,55.1,55.6,426700
AER,D,20190927,55.89,56.05,55.01,55.44,497500
AES,D,20190927,16.26,16.53,16.165,16.31,4433700
AFB,D,20190927,13.65,13.7,13.6323,13.67,27400
AFC,D,20190927,26.92,27.27,26.85,27.13,32100
AFG,D,20190927,108.2,108.2,106.51,106.99,229600
AFGB,D,20190927,26.72,26.82,26.68,26.79,21500
AFGE,D,20190927,25.71,25.71,25.49,25.56,53300
AFGH,D,20190927,26.2,26.38,26.2,26.38,16900
AFI,D,20190927,6.62,6.77,6.58,6.63,188900
AFL,D,20190927,52.1,52.17,51.58,51.89,3625700
AFT,D,20190927,14.88,14.88,14.78,14.79,27300
AG,D,20190927,9.56,9.79,9.44,9.63,5370500
AGCO,D,20190927,76.08,76.86,75.44,76.18,496200
AGD,D,20190927,9.62,9.62,9.55,9.62,26700
AGI,D,20190927,6.08,6.22,5.99,6.11,3022400
AGM,D,20190927,83.29,83.6,81.565,82.12,33400
AGM-A,D,20190927,26.08,26.18,26.08,26.18,300
AGM-D,D,20190927,26.5,26.5,26.3,26.49,16800
AGM.A,D,20190927,73.49,73.49,73.49,73.49,100
AGN,D,20190927,167.18,168.44,167,168.25,2442900
AGO,D,20190927,45.33,45.39,44.57,44.79,294100
AGO-B,D,20190927,27.895,27.895,27.45,27.67,9200
AGO-E,D,20190927,26.605,26.6868,26.31,26.39,15700
AGO-F,D,20190927,25.65,25.6652,25.36,25.63,7900
AGR,D,20190927,52.14,52.3,51.9,52.24,244600
AGRO,D,20190927,5.64,5.76,5.63,5.71,156400
AGS,D,20190927,10.46,10.66,10.08,10.18,238100
AGX,D,20190927,39.32,39.89,39.21,39.33,129200
AHC,D,20190927,3.68,3.7399,3.64,3.64,6800
AHH,D,20190927,18.11,18.14,17.82,17.99,582200
AHH-A,D,20190927,27.05,27.4332,27,27,4500
AHL-C,D,20190927,28.26,28.26,28.03,28.23,15800
AHL-D,D,20190927,26.06,26.11,25.98,26.11,14300
AHL-E,D,20190927,25.51,25.6,25.46,25.53,81700
AHT,D,20190927,3.24,3.48,3.24,3.46,1567400
AHT-D,D,20190927,25.05,25.05,24.7355,24.9468,4300
AHT-F,D,20190927,21.69,22,21.54,22,10000
AHT-G,D,20190927,21.2,21.4,21.09,21.25,14100
AHT-H,D,20190927,21.65,21.73,21.3323,21.72,4900
AHT-I,D,20190927,21.53,21.7644,21.1832,21.48,9100
AI,D,20190927,5.51,5.52,5.425,5.45,540600
AI-C,D,20190927,21.17,21.27,21.17,21.21,1400
AIC,D,20190927,23.645,23.645,23.6,23.62,800
AIF,D,20190927,15.22,15.22,15.1357,15.19,35900
AIG,D,20190927,56.22,56.53,55.85,56.16,3496200
AIG-A,D,20190927,27.14,27.28,27.02,27.28,90900
AIG.W,D,20190927,14.44,14.9,14.34,14.75,40500
AIN,D,20190927,90.8,90.905,89.225,89.85,217700
AIR,D,20190927,41.24,41.89,41.02,41.85,333100
AIT,D,20190927,55.53,56.04,55.344,55.42,288100
AIV,D,20190927,52.13,52.269,51.38,51.82,501500
AIW,D,20190927,24.025,24.025,23.8565,23.922,2600
AIZ,D,20190927,127.25,127.25,125.3601,125.47,312600
AIZP,D,20190927,125.67,125.91,124.68,124.68,1000
AJG,D,20190927,90.44,90.44,88.19,88.81,446600
AJRD,D,20190927,51.7,51.74,50.89,51.18,607800
AJX,D,20190927,15.37,15.5,15.25,15.28,80300
AJXA,D,20190927,27.2,27.2,27.064,27.064,1800
AKO.A,D,20190927,17.55,17.75,17.55,17.75,300
AKO.B,D,20190927,19.84,20.35,19.84,20.33,20300
AKR,D,20190927,28.8,28.81,28.54,28.66,460700
AKS,D,20190927,2.3,2.36,2.205,2.25,10846000
AL,D,20190927,42.51,42.99,41.85,42.02,504600
AL-A,D,20190927,27.25,27.44,27.23,27.44,18000
ALB,D,20190927,67.37,68.215,66.77,68.14,1668100
ALC,D,20190927,58.85,59.06,58.44,58.6,310300
ALE,D,20190927,88,88.04,86.92,87.6,192500
ALEX,D,20190927,24.59,24.71,24.31,24.53,143100
ALG,D,20190927,118.05,118.7575,117.29,117.47,47600
ALK,D,20190927,64.98,65.57,63.93,64.18,813900
ALL,D,20190927,108.54,108.54,107.1,107.83,1553000
ALL-A,D,20190927,25.93,26.1,25.85,26.1,18600
ALL-B,D,20190927,26.85,26.91,26.7,26.9,44500
ALL-D,D,20190927,25.03,25.11,24.99,25.11,17200
ALL-E,D,20190927,24.99,24.99,24.96,24.97,278300
ALL-F,D,20190927,24.99,24.99,24.96,24.98,90700
ALL-G,D,20190927,27.2,27.3,27.1942,27.28,33200
ALL-H,D,20190927,26.15,26.25,26.05,26.21,147400
ALL-Y,D,20190927,26.2,26.24,26.1771,26.2,55800
ALLE,D,20190927,103.11,103.34,101.91,102.5,340600
ALLY,D,20190927,33.77,33.8,33.3,33.55,2678200
ALP-Q,D,20190927,27.01,27.01,26.71,26.96,21400
ALSN,D,20190927,46.65,47.15,46.33,46.52,707000
ALV,D,20190927,77.53,77.94,77,77.92,746000
ALX,D,20190927,344.32,347.2,343.6,346.04,51600
AM,D,20190927,7.38,7.63,7.28,7.42,5020900
AMC,D,20190927,10.87,11.05,10.675,10.78,956000
AMCR,D,20190927,9.66,9.75,9.62,9.73,4738100
AME,D,20190927,91,91.87,90.43,91.37,1380300
AMG,D,20190927,83.13,83.96,82.46,82.94,321800
AMH,D,20190927,25.87,25.97,25.66,25.79,946600
AMH-D,D,20190927,27.11,27.19,26.96,27,14200
AMH-E,D,20190927,26.87,26.87,26.55,26.62,64900
AMH-F,D,20190927,26.1,26.1,25.975,25.99,5400
